Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/PM/Hwauei/Stats/4G/Governorate/Governorate Aggregation,Chrome 129.0.0.0,,,2024-10-03 16:04:09,2024-10-03 16:04:40,31.479s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 16:04:09,2024-10-03 16:04:30,20.258s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 16:04:30,2024-10-03 16:04:30,0.026s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Governorate"", true, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 16:04:30,2024-10-03 16:04:40,10.595s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 16:04:40,2024-10-03 16:04:40,0.009s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Governorate XDD/Governorate XDD,Chrome 129.0.0.0,,,2024-10-03 16:04:40,2024-10-03 16:05:15,34.911s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 16:04:41,2024-10-03 16:05:02,20.622s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 16:05:02,2024-10-03 16:05:02,0.028s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Governorate XDD"", false, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 16:05:02,2024-10-03 16:05:15,13.642s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 16:05:15,2024-10-03 16:05:15,0.009s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Governorate XDD/Governorate XDD Aggregation,Chrome 129.0.0.0,,,2024-10-03 16:05:15,2024-10-03 16:05:46,30.829s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 16:05:16,2024-10-03 16:05:36,19.804s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 16:05:36,2024-10-03 16:05:36,0.024s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Governorate"", true, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 16:05:36,2024-10-03 16:05:46,10.424s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 16:05:46,2024-10-03 16:05:46,0.009s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/PLMN XDD/PLMN XDD,Chrome 129.0.0.0,,,2024-10-03 16:05:46,2024-10-03 16:06:20,33.566s,PASSED
